ShortName,X1,X2,X3,X4,X5
ALNUGLU_3,63,63,88,63,63
ALNUGLU_2,3,0,0,0,2
FRANALN_2,8,0,0,3,3
SALX#CI_2,0,0,0,0,2
SORUAUC_2,0,3,2,0,0
CALACAN_1,3,3,8,3,0
CALLPAL_1,3,8,0,0,0
CARDDEN_1,2,2,0,1,1
CAREELA_1,18,38,63,38,38
CAREELO_1,18,8,4,8,3
DESCCES_1,0,0,1,3,1
DRYOCAR_1,4,8,8,8,0
DRYODIL_1,0,2,0,0,0
GALU#PA_1,0,2,1,2,2
HOTTPAL_1,2,0,0,0,0
IMPANOL_1,0,0,2,0,3
IRISPSE_1,3,3,1,0,3
JUNCEFF_1,0,0,0,2,0
LYCUEUR_1,2,1,2,2,1
LYSIVUL_1,3,3,4,8,2
LYTHSAL_1,2,0,0,0,0
PEUCPAL_1,2,2,3,2,2
PHRAAUS_1,63,3,38,38,8
POA PAL_1,0,0,2,0,0
RUBU#FR_1,0,0,0,8,0
SCUTGAL_1,0,0,2,0,1
SOLADUL_1,4,3,18,3,2
URTIDIO_1,0,1,1,1,0
ALNUGLU_J,0,0,1,1,0
FRANALN_J,2,1,2,0,1
QUERROB_J,1,1,0,0,0
SORUAUC_J,0,0,0,0,1
